"",""
"Action","Action"
"Add Sticker","Add Sticker"
"An error occurred while updating the stickers.","An error occurred while updating the stickers."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Content","Content"
"Could not find sticker to delete.","Could not find sticker to delete."
"Created at","Created at"
"Delete Sticker","Delete Sticker"
"Delete","Delete"
"Disabled","Disabled"
"Edit Sticker '%s'","Edit Sticker '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving sticker","Error saving sticker"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select stickers to delete.","Please select stickers to delete."
"Please select stickers.","Please select stickers."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Sticker","Save Sticker"
"Status","Status"
"Sticker was saved","Sticker was saved"
"Sticker was successfully deleted.","Sticker was successfully deleted."
"Sticker was successfully saved","Sticker was successfully saved"
"Sticker","Sticker"
"Stickers","Stickers"
"Store views","Store views"
"The stickers has been deleted.","The stickers has been deleted."
"There was a problem saving the sticker.","There was a problem saving the sticker."
"There was an error deleting sticker.","There was an error deleting sticker."
"There was an error deleting stickers.","There was an error deleting stickers."
"There was an error updating stickers.","There was an error updating stickers."
"This sticker no longer exists.","This sticker no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d stickers were successfully deleted.","Total of %d stickers were successfully deleted."
"Total of %d stickers were successfully updated.","Total of %d stickers were successfully updated."
"Type","Type"
"Unable to find sticker to save.","Unable to find sticker to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"